"Test";"Manager";"CPU(ms) Default_64";"Ticks(ms) Default_64";"Memory(Kb) Default_64";"CPU(%) FastMM4_64";"Ticks(%) FastMM4_64";"Memory(%) FastMM4_64";"CPU(%) FastMM4_FullDebug_64";"Ticks(%) FastMM4_FullDebug_64";"Memory(%) FastMM4_FullDebug_64";"CPU(%) FastMM5_64";"Ticks(%) FastMM5_64";"Memory(%) FastMM5_64";"CPU(%) FastMM5_FullDebug_64";"Ticks(%) FastMM5_FullDebug_64";"Memory(%) FastMM5_FullDebug_64";"CPU(%) ScaleMM2_64";"Ticks(%) ScaleMM2_64";"Memory(%) ScaleMM2_64";"CPU(%) TCMAlloc_64";"Ticks(%) TCMAlloc_64";"Memory(%) TCMAlloc_64";
"Raw Performance  1 thread";"Default";"5063";"5063";"193932";"109.243531503061";"109.243531503061";"98.3004352040922";"1.24432154848904";"1.22457041279874";"284.149083183796";"26.5455263677661";"26.5257752320758";"582.874409586865";"5.86608730001975";"5.86608730001975";"307.233463275787";"32.1153466324314";"32.0955954967411";"144.217560794505";"31.1672921192969";"31.1672921192969";"753.424911824763";
"Raw Performance  2 threads";"Default";"5219";"5297";"143436";"135.313278405825";"66.9624315650368";"97.7021110460414";"5.38417321325925";"2.64300547479706";"385.610307035891";"35.9264226863384";"17.689258070606";"720.965448004685";"19.1607587660471";"9.43930526713234";"416.821439527036";"28.1279938685572";"13.8569001321503";"118.600630246242";"24.8515041195631";"17.689258070606";"1020.0925848462";
"Raw Performance  4 threads";"Default";"5672";"5781";"161612";"223.677715091678";"55.1288704376405";"98.7525678786229";"8.26868829337094";"2.16225566510984";"344.301165755018";"53.4555712270804";"13.2503027157931";"610.734351409549";"20.9449929478138";"5.93322954506141";"371.21005865901";"33.885754583921";"9.99827019546791";"121.73600970225";"22.0380818053597";"13.7865421207404";"906.633170804148";
"Raw Performance  8 threads";"Default";"6626";"6938";"197964";"341.216420162994";"48.1983280484289";"99.6282152310521";"24.5095079987926";"2.9259152493514";"283.146430664161";"76.396015695744";"9.23897376765638";"460.30793477602";"45.2761847268337";"5.40501585471317";"305.11406114243";"43.1482040446725";"5.17440184491208";"125.762259804813";"18.1557500754603";"10.8100317094263";"742.21777696955";
"Raw Performance 12 threads";"Default";"7453";"8016";"234316";"341.942841808668";"46.0079840319361";"99.685894262449";"32.2823024285523";"3.89221556886228";"241.513170248724";"77.5660807728432";"9.3562874251497";"365.733453968146";"60.7943110156984";"7.41017964071856";"259.526451458714";"40.8828659600161";"6.05039920159681";"128.539237610748";"22.2192405742654";"9.94261477045908";"628.817494323904";
"Raw Performance 16 threads";"Default";"6625";"7438";"270668";"367.456603773585";"42.2290938424308";"100.200984231605";"48.1207547169811";"5.45845657434794";"211.062999689657";"79.0037735849057";"9.03468674374832";"295.427608730991";"91.0339622641509";"10.5001344447432";"226.184107467451";"42.2188679245283";"5.87523527830062";"124.895443864809";"26.8830188679245";"10.2984673299274";"545.877606514254";
"Raw Performance 31 threads";"Default";"6297";"7937";"404108";"375.670954422741";"38.9819831170467";"101.354093460164";"101.25456566619";"10.0415774221998";"146.119354232037";"85.1198983643005";"8.85725085044727";"181.91077632712";"187.851357789424";"19.2894040569485";"155.297098795372";"44.402096236303";"4.72470706816177";"79.5995130014748";"32.4916626965222";"7.48393599596825";"369.425005196631";
"Raw Performance 64 threads";"Default";"13156";"18125";"715852";"397.871693523867";"37.0703448275862";"99.8346026832362";"100.82851930678";"9.2248275862069";"88.2797002732408";"91.6844025539678";"8.44689655172414";"139.167872688768";"185.512313773183";"17.3296551724138";"92.3878120058336";"44.0635451505017";"4.13793103448276";"59.2396193626616";"64.8525387655822";"7.24413793103448";"213.265870598951";
"ReallocMem Large (1-952224b)";"Default";"9969";"9969";"1312012";"120.533654328418";"120.533654328418";"99.0902522233028";"0.160497542381382";"0.160497542381382";"43.5666746950485";"54.5390711204735";"54.5390711204735";"115.307177068502";"0.160497542381382";"0.160497542381382";"46.2764060084816";"62.3833885043635";"62.3833885043635";"116.082169980153";"52.1917945631457";"52.1917945631457";"111.365749703509";
"ReallocMem Medium (1-4039b)";"Default";"1704";"1703";"125580";"116.431924882629";"116.559013505578";"97.3753782449435";"1.81924882629108";"1.82031708749266";"451.039974518235";"108.215962441315";"108.220786846741";"224.962573658226";"1.81924882629108";"1.82031708749266";"479.350215002389";"142.136150234742";"142.21961244862";"120.786749482402";"132.042253521127";"132.119788608338";"1163.50692785475";
